"Geographical Location","Report Date","MDS Item Question/Description","MDS Item Response",Percent,"Total Residents"
Tennessee,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",No,79.41,18928
Tennessee,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",Yes,20.59,4907
Texas,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",No,84.98,72053
Texas,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",Yes,15.02,12740
Utah,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",No,80.01,4427
Utah,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",Yes,19.99,1106
Vermont,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",No,76.8,1771
Vermont,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",Yes,23.2,535
"Virgin Islands","Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",No,*,*
"Virgin Islands","Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",Yes,*,*
Virginia,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",No,82.97,22669
Virginia,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",Yes,17.03,4652
Washington,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",No,83.59,11138
Washington,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",Yes,16.41,2187
"West Virginia","Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",No,81.59,7535
"West Virginia","Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",Yes,18.41,1700
Wisconsin,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",No,81.21,13666
Wisconsin,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",Yes,18.79,3162
Wyoming,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",No,76.05,1464
Wyoming,"Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",Yes,23.95,461
"National Total","Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",No,79.66,952955
"National Total","Q3, 2024","N0415A1: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Is Taking",Yes,20.34,243260
Alabama,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",No,4.22,225
Alabama,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",Yes,95.78,5113
Alaska,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",No,*,*
Alaska,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",Yes,100,118
Arizona,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",No,2.16,42
Arizona,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",Yes,97.84,1902
Arkansas,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",No,2.8,77
Arkansas,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",Yes,97.2,2675
California,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",No,1.3,264
California,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",Yes,98.7,20043
Colorado,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",No,0.45,15
Colorado,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",Yes,99.55,3282
Connecticut,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",No,2.22,100
Connecticut,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",Yes,97.78,4414
Delaware,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",No,*,*
Delaware,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",Yes,99.11,554
"District of Columbia","Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",No,*,*
"District of Columbia","Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",Yes,100,277
Florida,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",No,2.08,209
Florida,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",Yes,97.92,9861
Georgia,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",No,2.98,214
Georgia,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",Yes,97.02,6969
Hawaii,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",No,*,*
Hawaii,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",Yes,97.93,425
Idaho,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",No,*,*
Idaho,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",Yes,99.54,868
Illinois,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",No,3.01,518
Illinois,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",Yes,96.99,16670
Indiana,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",No,4.37,266
Indiana,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",Yes,95.63,5826
Iowa,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",No,2.02,87
Iowa,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",Yes,97.98,4230
Kansas,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",No,1.61,54
Kansas,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",Yes,98.39,3308
Kentucky,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",No,4.94,202
Kentucky,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",Yes,95.06,3891
Louisiana,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",No,3.53,216
Louisiana,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",Yes,96.47,5907
Maine,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",No,*,*
Maine,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",Yes,99.08,1082
Maryland,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",No,1.44,56
Maryland,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",Yes,98.56,3845
Massachusetts,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",No,3.25,255
Massachusetts,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",Yes,96.75,7583
Michigan,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",No,2.31,161
Michigan,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",Yes,97.69,6817
Minnesota,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",No,2.06,80
Minnesota,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",Yes,97.94,3805
Mississippi,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",No,1.71,64
Mississippi,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",Yes,98.29,3668
Missouri,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",No,4.4,437
Missouri,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",Yes,95.6,9504
Montana,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",No,1.77,13
Montana,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",Yes,98.23,721
Nebraska,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",No,2.79,61
Nebraska,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",Yes,97.21,2129
Nevada,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",No,1.69,20
Nevada,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",Yes,98.31,1164
"New Hampshire","Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",No,1.02,13
"New Hampshire","Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",Yes,98.98,1264
"New Jersey","Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",No,0.64,49
"New Jersey","Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",Yes,99.36,7617
"New Mexico","Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",No,*,*
"New Mexico","Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",Yes,99.66,884
"New York","Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",No,2.27,388
"New York","Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",Yes,97.73,16695
"North Carolina","Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",No,4.08,240
"North Carolina","Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",Yes,95.92,5644
"North Dakota","Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",No,1.08,11
"North Dakota","Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",Yes,98.92,1008
Ohio,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",No,2.73,348
Ohio,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",Yes,97.27,12392
Oklahoma,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",No,2.77,98
Oklahoma,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",Yes,97.23,3446
Oregon,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",No,2.71,29
Oregon,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",Yes,97.29,1040
Pennsylvania,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",No,3.03,435
Pennsylvania,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",Yes,96.97,13909
"Puerto Rico","Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",No,*,*
"Puerto Rico","Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",Yes,*,*
"Rhode Island","Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",No,5.19,87
"Rhode Island","Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",Yes,94.81,1588
"South Carolina","Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",No,8.07,249
"South Carolina","Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",Yes,91.93,2835
"South Dakota","Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",No,1.33,16
"South Dakota","Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",Yes,98.67,1190
Tennessee,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",No,4.46,219
Tennessee,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",Yes,95.54,4687
Texas,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",No,3.78,482
Texas,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",Yes,96.22,12257
Utah,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",No,1.63,18
Utah,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",Yes,98.37,1088
Vermont,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",No,*,*
Vermont,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",Yes,98.32,526
"Virgin Islands","Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",No,*,*
"Virgin Islands","Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",Yes,*,*
Virginia,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",No,2.73,127
Virginia,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",Yes,97.27,4525
Washington,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",No,1.42,31
Washington,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",Yes,98.58,2156
"West Virginia","Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",No,1.59,27
"West Virginia","Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",Yes,98.41,1673
Wisconsin,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",No,2.09,66
Wisconsin,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",Yes,97.91,3096
Wyoming,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",No,2.82,13
Wyoming,"Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",Yes,97.18,448
"National Total","Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",No,2.72,6623
"National Total","Q3, 2024","N0415A2: Medications: High-Risk Drug Classes: Use and Indication: Antipsychotic Indication Noted",Yes,97.28,236623
Alabama,"Q3, 2024","N0450A: Medications - Antipsychotic Medication Review - Did the resident receive antipsychotic medications since admission/entry or reentry or the prior OBRA assessment, whichever is more recent?","No - Antipsychotics not received",74.25,15577
Alabama,"Q3, 2024","N0450A: Medications - Antipsychotic Medication Review - Did the resident receive antipsychotic medications since admission/entry or reentry or the prior OBRA assessment, whichever is more recent?","Yes - Antipsychotics were received on a routine basis only",25.53,5357
Alabama,"Q3, 2024","N0450A: Medications - Antipsychotic Medication Review - Did the resident receive antipsychotic medications since admission/entry or reentry or the prior OBRA assessment, whichever is more recent?","Yes - Antipsychotics were received on a PRN basis only",0.15,31
Alabama,"Q3, 2024","N0450A: Medications - Antipsychotic Medication Review - Did the resident receive antipsychotic medications since admission/entry or reentry or the prior OBRA assessment, whichever is more recent?","Yes - Antipsychotics were received on a routine and PRN basis",0.07,15
Alaska,"Q3, 2024","N0450A: Medications - Antipsychotic Medication Review - Did the resident receive antipsychotic medications since admission/entry or reentry or the prior OBRA assessment, whichever is more recent?","No - Antipsychotics not received",84.08,618
Alaska,"Q3, 2024","N0450A: Medications - Antipsychotic Medication Review - Did the resident receive antipsychotic medications since admission/entry or reentry or the prior OBRA assessment, whichever is more recent?","Yes - Antipsychotics were received on a routine basis only",15.1,111
Alaska,"Q3, 2024","N0450A: Medications - Antipsychotic Medication Review - Did the resident receive antipsychotic medications since admission/entry or reentry or the prior OBRA assessment, whichever is more recent?","Yes - Antipsychotics were received on a PRN basis only",*,*
Alaska,"Q3, 2024","N0450A: Medications - Antipsychotic Medication Review - Did the resident receive antipsychotic medications since admission/entry or reentry or the prior OBRA assessment, whichever is more recent?","Yes - Antipsychotics were received on a routine and PRN basis",*,*
Arizona,"Q3, 2024","N0450A: Medications - Antipsychotic Medication Review - Did the resident receive antipsychotic medications since admission/entry or reentry or the prior OBRA assessment, whichever is more recent?","No - Antipsychotics not received",81.27,8675
Arizona,"Q3, 2024","N0450A: Medications - Antipsychotic Medication Review - Did the resident receive antipsychotic medications since admission/entry or reentry or the prior OBRA assessment, whichever is more recent?","Yes - Antipsychotics were received on a routine basis only",18.42,1966
Arizona,"Q3, 2024","N0450A: Medications - Antipsychotic Medication Review - Did the resident receive antipsychotic medications since admission/entry or reentry or the prior OBRA assessment, whichever is more recent?","Yes - Antipsychotics were received on a PRN basis only",0.18,19
Arizona,"Q3, 2024","N0450A: Medications - Antipsychotic Medication Review - Did the resident receive antipsychotic medications since admission/entry or reentry or the prior OBRA assessment, whichever is more recent?","Yes - Antipsychotics were received on a routine and PRN basis",0.13,14
Arkansas,"Q3, 2024","N0450A: Medications - Antipsychotic Medication Review - Did the resident receive antipsychotic medications since admission/entry or reentry or the prior OBRA assessment, whichever is more recent?","No - Antipsychotics not received",82.72,13240
Arkansas,"Q3, 2024","N0450A: Medications - Antipsychotic Medication Review - Did the resident receive antipsychotic medications since admission/entry or reentry or the prior OBRA assessment, whichever is more recent?","Yes - Antipsychotics were received on a routine basis only",17.01,2723
Arkansas,"Q3, 2024","N0450A: Medications - Antipsychotic Medication Review - Did the resident receive antipsychotic medications since admission/entry or reentry or the prior OBRA assessment, whichever is more recent?","Yes - Antipsychotics were received on a PRN basis only",0.07,12
Arkansas,"Q3, 2024","N0450A: Medications - Antipsychotic Medication Review - Did the resident receive antipsychotic medications since admission/entry or reentry or the prior OBRA assessment, whichever is more recent?","Yes - Antipsychotics were received on a routine and PRN basis",0.19,30
California,"Q3, 2024","N0450A: Medications - Antipsychotic Medication Review - Did the resident receive antipsychotic medications since admission/entry or reentry or the prior OBRA assessment, whichever is more recent?","No - Antipsychotics not received",79.06,76692
California,"Q3, 2024","N0450A: Medications - Antipsychotic Medication Review - Did the resident receive antipsychotic medications since admission/entry or reentry or the prior OBRA assessment, whichever is more recent?","Yes - Antipsychotics were received on a routine basis only",20.52,19904
California,"Q3, 2024","N0450A: Medications - Antipsychotic Medication Review - Did the resident receive antipsychotic medications since admission/entry or reentry or the prior OBRA assessment, whichever is more recent?","Yes - Antipsychotics were received on a PRN basis only",0.15,149
California,"Q3, 2024","N0450A: Medications - Antipsychotic Medication Review - Did the resident receive antipsychotic medications since admission/entry or reentry or the prior OBRA assessment, whichever is more recent?","Yes - Antipsychotics were received on a routine and PRN basis",0.26,256
Colorado,"Q3, 2024","N0450A: Medications - Antipsychotic Medication Review - Did the resident receive antipsychotic medications since admission/entry or reentry or the prior OBRA assessment, whichever is more recent?","No - Antipsychotics not received",77.26,11106
Colorado,"Q3, 2024","N0450A: Medications - Antipsychotic Medication Review - Did the resident receive antipsychotic medications since admission/entry or reentry or the prior OBRA assessment, whichever is more recent?","Yes - Antipsychotics were received on a routine basis only",22.59,3248
Colorado,"Q3, 2024","N0450A: Medications - Antipsychotic Medication Review - Did the resident receive antipsychotic medications since admission/entry or reentry or the prior OBRA assessment, whichever is more recent?","Yes - Antipsychotics were received on a PRN basis only",0.08,11
Colorado,"Q3, 2024","N0450A: Medications - Antipsychotic Medication Review - Did the resident receive antipsychotic medications since admission/entry or reentry or the prior OBRA assessment, whichever is more recent?","Yes - Antipsychotics were received on a routine and PRN basis",*,*
Connecticut,"Q3, 2024","N0450A: Medications - Antipsychotic Medication Review - Did the resident receive antipsychotic medications since admission/entry or reentry or the prior OBRA assessment, whichever is more recent?","No - Antipsychotics not received",76.38,14410
Connecticut,"Q3, 2024","N0450A: Medications - Antipsychotic Medication Review - Did the resident receive antipsychotic medications since admission/entry or reentry or the prior OBRA assessment, whichever is more recent?","Yes - Antipsychotics were received on a routine basis only",23.13,4364
Connecticut,"Q3, 2024","N0450A: Medications - Antipsychotic Medication Review - Did the resident receive antipsychotic medications since admission/entry or reentry or the prior OBRA assessment, whichever is more recent?","Yes - Antipsychotics were received on a PRN basis only",0.17,32
Connecticut,"Q3, 2024","N0450A: Medications - Antipsychotic Medication Review - Did the resident receive antipsychotic medications since admission/entry or reentry or the prior OBRA assessment, whichever is more recent?","Yes - Antipsychotics were received on a routine and PRN basis",0.32,60
Delaware,"Q3, 2024","N0450A: Medications - Antipsychotic Medication Review - Did the resident receive antipsychotic medications since admission/entry or reentry or the prior OBRA assessment, whichever is more recent?","No - Antipsychotics not received",85.37,3249
Delaware,"Q3, 2024","N0450A: Medications - Antipsychotic Medication Review - Did the resident receive antipsychotic medications since admission/entry or reentry or the prior OBRA assessment, whichever is more recent?","Yes - Antipsychotics were received on a routine basis only",14.45,550
Delaware,"Q3, 2024","N0450A: Medications - Antipsychotic Medication Review - Did the resident receive antipsychotic medications since admission/entry or reentry or the prior OBRA assessment, whichever is more recent?","Yes - Antipsychotics were received on a PRN basis only",*,*
Delaware,"Q3, 2024","N0450A: Medications - Antipsychotic Medication Review - Did the resident receive antipsychotic medications since admission/entry or reentry or the prior OBRA assessment, whichever is more recent?","Yes - Antipsychotics were received on a routine and PRN basis",*,*
"District of Columbia","Q3, 2024","N0450A: Medications - Antipsychotic Medication Review - Did the resident receive antipsychotic medications since admission/entry or reentry or the prior OBRA assessment, whichever is more recent?","No - Antipsychotics not received",86.47,1719
"District of Columbia","Q3, 2024","N0450A: Medications - Antipsychotic Medication Review - Did the resident receive antipsychotic medications since admission/entry or reentry or the prior OBRA assessment, whichever is more recent?","Yes - Antipsychotics were received on a routine basis only",13.48,268
"District of Columbia","Q3, 2024","N0450A: Medications - Antipsychotic Medication Review - Did the resident receive antipsychotic medications since admission/entry or reentry or the prior OBRA assessment, whichever is more recent?","Yes - Antipsychotics were received on a PRN basis only",*,*
"District of Columbia","Q3, 2024","N0450A: Medications - Antipsychotic Medication Review - Did the resident receive antipsychotic medications since admission/entry or reentry or the prior OBRA assessment, whichever is more recent?","Yes - Antipsychotics were received on a routine and PRN basis",*,*
Florida,"Q3, 2024","N0450A: Medications - Antipsychotic Medication Review - Did the resident receive antipsychotic medications since admission/entry or reentry or the prior OBRA assessment, whichever is more recent?","No - Antipsychotics not received",85.77,61446
Florida,"Q3, 2024","N0450A: Medications - Antipsychotic Medication Review - Did the resident receive antipsychotic medications since admission/entry or reentry or the prior OBRA assessment, whichever is more recent?","Yes - Antipsychotics were received on a routine basis only",14.04,10058
Florida,"Q3, 2024","N0450A: Medications - Antipsychotic Medication Review - Did the resident receive antipsychotic medications since admission/entry or reentry or the prior OBRA assessment, whichever is more recent?","Yes - Antipsychotics were received on a PRN basis only",0.12,85
Florida,"Q3, 2024","N0450A: Medications - Antipsychotic Medication Review - Did the resident receive antipsychotic medications since admission/entry or reentry or the prior OBRA assessment, whichever is more recent?","Yes - Antipsychotics were received on a routine and PRN basis",0.07,48
Georgia,"Q3, 2024","N0450A: Medications - Antipsychotic Medication Review - Did the resident receive antipsychotic medications since admission/entry or reentry or the prior OBRA assessment, whichever is more recent?","No - Antipsychotics not received",76.75,23333
Georgia,"Q3, 2024","N0450A: Medications - Antipsychotic Medication Review - Did the resident receive antipsychotic medications since admission/entry or reentry or the prior OBRA assessment, whichever is more recent?","Yes - Antipsychotics were received on a routine basis only",22.94,6973
Georgia,"Q3, 2024","N0450A: Medications - Antipsychotic Medication Review - Did the resident receive antipsychotic medications since admission/entry or reentry or the prior OBRA assessment, whichever is more recent?","Yes - Antipsychotics were received on a PRN basis only",0.16,50
Georgia,"Q3, 2024","N0450A: Medications - Antipsychotic Medication Review - Did the resident receive antipsychotic medications since admission/entry or reentry or the prior OBRA assessment, whichever is more recent?","Yes - Antipsychotics were received on a routine and PRN basis",0.15,47
Hawaii,"Q3, 2024","N0450A: Medications - Antipsychotic Medication Review - Did the resident receive antipsychotic medications since admission/entry or reentry or the prior OBRA assessment, whichever is more recent?","No - Antipsychotics not received",86.25,2759
Hawaii,"Q3, 2024","N0450A: Medications - Antipsychotic Medication Review - Did the resident receive antipsychotic medications since admission/entry or reentry or the prior OBRA assessment, whichever is more recent?","Yes - Antipsychotics were received on a routine basis only",13.38,428
Hawaii,"Q3, 2024","N0450A: Medications - Antipsychotic Medication Review - Did the resident receive antipsychotic medications since admission/entry or reentry or the prior OBRA assessment, whichever is more recent?","Yes - Antipsychotics were received on a PRN basis only",*,*
Hawaii,"Q3, 2024","N0450A: Medications - Antipsychotic Medication Review - Did the resident receive antipsychotic medications since admission/entry or reentry or the prior OBRA assessment, whichever is more recent?","Yes - Antipsychotics were received on a routine and PRN basis",*,*
Idaho,"Q3, 2024","N0450A: Medications - Antipsychotic Medication Review - Did the resident receive antipsychotic medications since admission/entry or reentry or the prior OBRA assessment, whichever is more recent?","No - Antipsychotics not received",78.83,3255
